recipe_id,name,meal_type,category,cuisine,allowed_diets,ingredients,shopping_items,grocery_category,cost_usd,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,gi,allergens,cross_contact_risks,risk_tags,ibs_safe,gerd_safe,diabetes_safe,hypertension_safe,is_fish,tags,bloom_bits
IBSL04,Tempeh Rice Noodle Bowl,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"rice noodles, tempeh, bok choy, ginger","rice noodles, tempeh, bok choy, ginger:1 serving",Grain Bowls,5.8,620,33,78,19,8,6.8,360,1.4,3.1,4.2,500,970,210,51,soy,,,1,1,1,1,0,low fodmap iron rich meal prep,2787805826295653479231629393210690043383808
IBSL05,Soba-Style Buckwheat Bowl,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"100 percent buckwheat noodles, eggs, spinach","100 percent buckwheat noodles, eggs, spinach:1 serving",Grain Bowls,5.8,600,28,82,17,9,6.5,310,1.2,3.4,3.8,430,920,205,52,eggs,,,1,1,1,1,0,low fodmap iron rich meal prep,187072209583970232584267143235420203348942246641664
IBSL06,Chickpea-Free Greek Rice Bowl,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"rice, eggs, cucumber, olives, spinach","rice, eggs, cucumber, olives, spinach:1 serving",Grain Bowls,5.8,585,25,73,20,7,6.0,300,1.2,3.2,3.4,480,880,160,53,eggs,,,1,1,1,1,0,low fodmap iron rich meal prep,187072209583970232584267143235420203348942246641664
IBSL07,Potato Kale Tofu Plate,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"potatoes, firm tofu, kale, carrots","potatoes, firm tofu, kale, carrots:1 serving",Grain Bowls,5.8,610,31,70,21,10,7.2,420,1.4,3.7,4.7,390,1250,245,54,soy,,,1,1,1,1,0,low fodmap iron rich meal prep,2787805826295653479231629393210690043383808
IBSL08,Quinoa Egg Bento,Lunch,Grain Bowls,Student Prep,vegetarian;pescatarian;non-vegetarian,"quinoa, boiled eggs, spinach, pumpkin seeds","quinoa, boiled eggs, spinach, pumpkin seeds:1 serving",Grain Bowls,5.8,600,30,68,22,9,7.1,350,1.3,3.8,4.5,410,990,225,48,eggs,,,1,1,1,1,0,low fodmap iron rich meal prep,187072209583970232584267143235420203348942246641664
IBSD01,Low-FODMAP Tofu Rice Dinner,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"firm tofu, jasmine rice, zucchini, carrots","firm tofu, jasmine rice, zucchini, carrots:1 serving",Warm Plates,6.4,690,36,82,24,9,7.5,430,1.5,3.8,4.9,520,1220,250,50,soy,,,1,1,1,1,0,low fodmap high iron dairy free,2787805826295653479231629393210690043383808
IBSD02,Eggplant-Free Quinoa Skillet,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"quinoa, eggs, spinach, bell pepper","quinoa, eggs, spinach, bell pepper:1 serving",Warm Plates,6.4,650,31,76,22,9,7.0,340,1.4,3.4,4.1,460,1030,225,49,eggs,,,1,1,1,1,0,low fodmap high iron dairy free,187072209583970232584267143235420203348942246641664
IBSD03,Millet Lentil-Free Curry,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"millet, tofu, carrots, ginger","millet, tofu, carrots, ginger:1 serving",Warm Plates,6.4,675,34,80,23,8,7.2,390,1.3,3.5,4.6,500,1080,230,51,soy,,,1,1,1,1,0,low fodmap high iron dairy free,2787805826295653479231629393210690043383808
IBSD04,Polenta Spinach Egg Plate,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"polenta, eggs, spinach, pumpkin seeds","polenta, eggs, spinach, pumpkin seeds:1 serving",Warm Plates,6.4,640,29,72,24,8,7.6,360,1.5,3.7,4.5,430,980,220,54,eggs,,,1,1,1,1,0,low fodmap high iron dairy free,187072209583970232584267143235420203348942246641664
IBSD05,Buckwheat Tofu Stir Plate,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"buckwheat, tofu, bok choy, ginger","buckwheat, tofu, bok choy, ginger:1 serving",Warm Plates,6.4,665,35,78,23,10,7.4,410,1.4,3.8,4.9,480,1130,245,47,soy,,,1,1,1,1,0,low fodmap high iron dairy free,2787805826295653479231629393210690043383808
IBSD06,Rice Pasta Spinach Bake,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"rice pasta, eggs, spinach, herbs","rice pasta, eggs, spinach, herbs:1 serving",Warm Plates,6.4,680,30,88,22,7,6.8,330,1.3,3.2,3.8,500,900,190,55,eggs,,,1,1,1,1,0,low fodmap high iron dairy free,187072209583970232584267143235420203348942246641664
IBSD07,Teff Veggie Dinner Bowl,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"teff, tofu, carrots, kale","teff, tofu, carrots, kale:1 serving",Warm Plates,6.4,655,34,75,22,10,7.8,440,1.3,3.5,5.0,460,1180,255,48,soy,,,1,1,1,1,0,low fodmap high iron dairy free,2787805826295653479231629393210690043383808
IBSD08,Pumpkin Seed Risotto Bowl,Dinner,Warm Plates,Student Prep,vegetarian;pescatarian;non-vegetarian,"arborio rice, spinach, pumpkin seeds, eggs","arborio rice, spinach, pumpkin seeds, eggs:1 serving",Warm Plates,6.4,670,28,84,24,7,7.5,350,1.2,3.4,4.2,450,990,215,53,eggs,,,1,1,1,1,0,low fodmap high iron dairy free,187072209583970232584267143235420203348942246641664
DIAB01,Steel-Cut Oats With Hemp,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"steel-cut oats, hemp seeds, berries, fortified soy milk","steel-cut oats, hemp seeds, berries, fortified soy milk:1 serving",Low-GI Breakfast,4.6,390,20,48,13,12,5.2,380,1.8,3.6,3.5,170,760,210,42,soy,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,2787805826295653479231629393210690043383808
DIAB02,Tofu Veggie Breakfast Hash,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"tofu, sweet potato, spinach, peppers","tofu, sweet potato, spinach, peppers:1 serving",Low-GI Breakfast,4.6,410,25,44,15,10,5.9,420,1.5,3.2,4.0,310,1120,230,45,soy,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,2787805826295653479231629393210690043383808
DIAB03,Lentil Breakfast Bowl,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"lentils, quinoa, kale, nutritional yeast","lentils, quinoa, kale, nutritional yeast:1 serving",Low-GI Breakfast,4.6,405,24,52,10,14,6.2,310,2.0,2.8,4.3,300,980,240,36,,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,0
DIAB04,Chia Berry Soy Yogurt,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"chia, berries, unsweetened soy yogurt","chia, berries, unsweetened soy yogurt:1 serving",Low-GI Breakfast,4.6,370,19,38,15,13,5.0,360,1.5,3.0,3.6,210,760,220,34,soy,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,2787805826295653479231629393210690043383808
DIAB05,Barley-Free Bean Toast Bowl,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"black beans, corn tortilla, avocado","black beans, corn tortilla, avocado:1 serving",Low-GI Breakfast,4.6,420,20,54,14,15,5.4,250,1.5,2.6,3.8,330,1080,230,40,,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,0
DIAB06,Quinoa Cinnamon Breakfast,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"quinoa, flax, berries, fortified oat milk","quinoa, flax, berries, fortified oat milk:1 serving",Low-GI Breakfast,4.6,395,18,50,14,11,5.5,360,1.7,3.4,3.5,180,820,220,43,,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,0
DIAB07,Savory Chickpea Scramble,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"chickpea flour, spinach, nutritional yeast","chickpea flour, spinach, nutritional yeast:1 serving",Low-GI Breakfast,4.6,410,23,46,13,12,6.0,320,2.1,3.1,4.1,340,1000,235,35,,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,0
DIAB08,Edamame Oat Bowl,Breakfast,Low-GI Breakfast,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"oats, edamame, blueberries, flax","oats, edamame, blueberries, flax:1 serving",Low-GI Breakfast,4.6,400,24,46,14,12,5.4,310,1.4,2.8,3.7,270,860,210,44,soy,,,1,1,1,1,0,low gi vegan high fiber b12 fortified,2787805826295653479231629393210690043383808
DIAL01,Lentil Quinoa Power Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"lentils, quinoa, kale, nutritional yeast","lentils, quinoa, kale, nutritional yeast:1 serving",Low-GI Bowls,5.2,540,30,67,14,18,7.8,360,2.2,3.4,5.0,430,1280,285,38,,,,0,1,1,1,0,low gi vegan high fiber,5846006549323611672814816702119893266696218083328
DIAL02,Black Bean Brown Rice Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"black beans, brown rice, avocado, peppers","black beans, brown rice, avocado, peppers:1 serving",Low-GI Bowls,5.2,560,24,78,16,17,6.8,290,1.6,2.6,4.3,460,1300,260,45,,,,0,1,1,1,0,low gi vegan high fiber,5846006549323611672814816702119893266696218083328
DIAL03,Tofu Veggie Quinoa Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"tofu, quinoa, broccoli, sesame","tofu, quinoa, broccoli, sesame:1 serving",Low-GI Bowls,5.2,555,35,58,20,13,7.0,520,1.7,3.2,4.8,500,1160,260,42,soy,,,1,1,1,1,0,low gi vegan high fiber,2787805826295653479231629393210690043383808
DIAL04,Chickpea Cucumber Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"chickpeas, farro-free quinoa, cucumber","chickpeas, farro-free quinoa, cucumber:1 serving",Low-GI Bowls,5.2,535,24,70,15,16,6.9,270,1.5,2.6,4.2,420,1120,245,39,,,,0,1,1,1,0,low gi vegan high fiber,5846006549323611672814816702119893266696218083328
DIAL05,Split Pea Soup Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"split peas, carrots, spinach, herbs","split peas, carrots, spinach, herbs:1 serving",Low-GI Bowls,5.2,520,29,72,10,19,7.2,300,1.5,2.8,4.6,480,1320,275,32,,,,1,1,1,1,0,low gi vegan high fiber,0
DIAL06,Tempeh Buckwheat Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"tempeh, buckwheat, greens, ginger","tempeh, buckwheat, greens, ginger:1 serving",Low-GI Bowls,5.2,565,36,58,21,13,7.1,360,1.6,3.0,5.1,520,1080,250,44,soy,,,1,1,1,1,0,low gi vegan high fiber,2787805826295653479231629393210690043383808
DIAL07,Bean Taco Salad,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"pinto beans, corn tortilla, romaine, salsa verde","pinto beans, corn tortilla, romaine, salsa verde:1 serving",Low-GI Bowls,5.2,545,25,72,15,18,6.6,280,1.4,2.4,4.4,470,1220,250,41,,,,0,1,1,1,0,low gi vegan high fiber,5846006549323611672814816702119893266696218083328
DIAL08,Mushroom Lentil Bowl,Lunch,Low-GI Bowls,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"lentils, mushrooms, millet, spinach","lentils, mushrooms, millet, spinach:1 serving",Low-GI Bowls,5.2,550,30,68,15,17,7.4,330,1.5,2.9,4.7,450,1240,270,37,,,,0,1,1,1,0,low gi vegan high fiber,5846006549323611672814816702119893266696218083328
DIAD01,Bean Chili Without Sugar,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"kidney beans, black beans, quinoa, peppers","kidney beans, black beans, quinoa, peppers:1 serving",Low-GI Dinners,5.9,610,31,82,14,22,8.4,330,1.8,2.8,5.3,540,1440,305,36,,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846006549323611672814816702119893266696218083328
DIAD02,Tofu Broccoli Brown Rice,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"tofu, broccoli, brown rice, sesame","tofu, broccoli, brown rice, sesame:1 serving",Low-GI Dinners,5.9,625,38,66,22,13,7.5,540,1.7,3.2,5.2,520,1260,285,48,soy,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846009337129437968468295933749286477386261467136
DIAD03,Lentil Millet Stew,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"lentils, millet, spinach, carrots","lentils, millet, spinach, carrots:1 serving",Low-GI Dinners,5.9,600,32,78,13,20,8.0,340,1.7,2.9,5.0,500,1360,300,34,,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846006549323611672814816702119893266696218083328
DIAD04,Chickpea Cauliflower Curry,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"chickpeas, cauliflower, brown rice","chickpeas, cauliflower, brown rice:1 serving",Low-GI Dinners,5.9,620,27,82,17,18,7.4,300,1.5,2.6,4.6,560,1260,280,42,,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846006549323611672814816702119893266696218083328
DIAD05,Tempeh Vegetable Plate,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"tempeh, sweet potato, kale","tempeh, sweet potato, kale:1 serving",Low-GI Dinners,5.9,615,37,62,24,14,7.2,390,1.6,3.1,5.4,530,1300,290,44,soy,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846009337129437968468295933749286477386261467136
DIAD06,Quinoa Stuffed Peppers,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"quinoa, lentils, peppers, nutritional yeast","quinoa, lentils, peppers, nutritional yeast:1 serving",Low-GI Dinners,5.9,600,30,76,15,19,8.1,350,2.2,3.0,5.2,490,1290,295,39,,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846006549323611672814816702119893266696218083328
DIAD07,Black Bean Sweet Potato Plate,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"black beans, sweet potato, greens","black beans, sweet potato, greens:1 serving",Low-GI Dinners,5.9,615,28,84,14,21,7.6,310,1.5,2.7,4.8,520,1500,310,46,,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846006549323611672814816702119893266696218083328
DIAD08,Pea Protein Pasta Bowl,Dinner,Low-GI Dinners,Student Prep,vegan;vegetarian;pescatarian;non-vegetarian,"lentil pasta, spinach, mushrooms","lentil pasta, spinach, mushrooms:1 serving",Low-GI Dinners,5.9,605,36,70,17,17,7.8,340,1.4,2.6,5.0,480,1180,270,45,,,,0,1,1,1,0,low gi vegan high fiber b12 fortified,5846006549323611672814816702119893266696218083328
GERB01,Banana Oat Egg Bowl,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"gluten-free oats, banana, eggs","gluten-free oats, banana, eggs:1 serving",Gentle Breakfast,5.0,500,26,62,16,7,3.8,280,1.2,3.8,3.1,220,830,170,54,eggs,gluten,,0,1,1,1,0,gluten free gerd gentle b12,192918216133293844257081959937540096615638464724992
GERB02,Turkey Breakfast Rice,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"turkey, rice, spinach, egg","turkey, rice, spinach, egg:1 serving",Gentle Breakfast,5.0,535,36,50,18,5,4.2,240,1.8,3.4,4.4,340,860,160,55,eggs,,,1,1,1,1,0,gluten free gerd gentle b12,187072209583970232584267143235420203348942246641664
GERB03,Egg Potato Spinach Plate,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"eggs, potatoes, spinach","eggs, potatoes, spinach:1 serving",Gentle Breakfast,5.0,505,27,48,22,6,4.8,260,1.4,3.6,3.5,310,1010,170,54,eggs,,,1,1,1,1,0,gluten free gerd gentle b12,187072209583970232584267143235420203348942246641664
GERB04,Chicken Breakfast Congee,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"chicken, rice, ginger, bok choy","chicken, rice, ginger, bok choy:1 serving",Gentle Breakfast,5.0,520,35,58,13,4,3.5,180,0.8,1.4,3.8,360,780,140,55,,,,1,1,1,1,0,gluten free gerd gentle b12,0
GERB05,Greek Yogurt Free Smoothie,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"banana, pea protein, oat milk","banana, pea protein, oat milk:1 serving",Gentle Breakfast,5.0,480,30,55,14,8,4.6,360,1.2,3.2,3.4,250,870,170,51,,,,0,1,1,1,0,gluten free gerd gentle b12,5846006549323611672814816702119893266696218083328
GERB06,Salmon Egg Rice Cake,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"salmon, eggs, rice cakes","salmon, eggs, rice cakes:1 serving",Gentle Breakfast,5.0,510,34,42,22,3,3.4,220,3.5,8.0,3.6,360,760,140,53,eggs;fish,,,1,1,1,1,0,gluten free gerd gentle b12,883423532800568304122137333119785523785664475652029016680735904500809728
GERB07,Turkey Quinoa Breakfast,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"turkey, quinoa, spinach","turkey, quinoa, spinach:1 serving",Gentle Breakfast,5.0,530,38,50,16,6,4.4,230,1.0,1.8,4.2,390,890,180,50,,,,1,1,1,1,0,gluten free gerd gentle b12,0
GERB08,Egg Millet Bowl,Breakfast,Gentle Breakfast,Student Prep,non-vegetarian,"eggs, millet, zucchini","eggs, millet, zucchini:1 serving",Gentle Breakfast,5.0,500,27,56,18,6,4.1,230,1.3,3.6,3.3,300,760,160,52,eggs,,,1,1,1,1,0,gluten free gerd gentle b12,187072209583970232584267143235420203348942246641664
GERL01,Chicken Quinoa Cucumber Bowl,Lunch,Lean Plates,Student Prep,non-vegetarian,"chicken, quinoa, cucumber, spinach","chicken, quinoa, cucumber, spinach:1 serving",Lean Plates,6.8,690,48,72,19,8,5.0,260,0.7,1.5,5.0,520,1100,230,50,,,,1,1,1,1,0,gluten free gerd gentle lean protein,0
GERL02,Turkey Rice Bowl,Lunch,Lean Plates,Student Prep,non-vegetarian,"turkey, brown rice, carrots","turkey, brown rice, carrots:1 serving",Lean Plates,6.8,710,50,78,18,7,4.8,220,1.0,1.5,5.2,560,980,210,54,,,,1,1,1,1,0,gluten free gerd gentle lean protein,0
GERL03,Salmon Quinoa Plate,Lunch,Lean Plates,Student Prep,non-vegetarian,"salmon, quinoa, zucchini","salmon, quinoa, zucchini:1 serving",Lean Plates,6.8,720,46,64,28,7,4.6,260,4.8,11.0,4.9,500,1120,220,48,fish,,,1,1,1,1,1,gluten free gerd gentle lean protein,883423532800568304121950260910201553553080208508793596477386962254168064
GERL04,Chicken Rice Noodle Bowl,Lunch,Lean Plates,Student Prep,non-vegetarian,"chicken, rice noodles, bok choy","chicken, rice noodles, bok choy:1 serving",Lean Plates,6.8,700,45,82,16,5,4.0,210,0.6,1.2,4.5,540,900,180,55,,,,1,1,1,1,0,gluten free gerd gentle lean protein,0
GERL05,Turkey Potato Plate,Lunch,Lean Plates,Student Prep,non-vegetarian,"turkey, potatoes, spinach","turkey, potatoes, spinach:1 serving",Lean Plates,6.8,695,49,70,18,8,5.4,240,1.0,1.6,5.1,570,1280,230,54,,,,1,1,1,1,0,gluten free gerd gentle lean protein,0
GERL06,Tuna Rice Bowl,Lunch,Lean Plates,Student Prep,non-vegetarian,"tuna, rice, cucumber, avocado","tuna, rice, cucumber, avocado:1 serving",Lean Plates,6.8,680,44,73,21,6,3.8,190,3.2,6.5,4.4,560,980,190,53,fish,,,1,1,1,1,1,gluten free gerd gentle lean protein,883423532800568304121950260910201553553080208508793596477386962254168064
GERL07,Chicken Millet Bowl,Lunch,Lean Plates,Student Prep,non-vegetarian,"chicken, millet, spinach, carrots","chicken, millet, spinach, carrots:1 serving",Lean Plates,6.8,705,47,76,18,8,5.2,240,0.6,1.3,4.8,530,1080,220,51,,,,1,1,1,1,0,gluten free gerd gentle lean protein,0
GERL08,Egg Turkey Bento,Lunch,Lean Plates,Student Prep,non-vegetarian,"turkey, eggs, rice, cucumber","turkey, eggs, rice, cucumber:1 serving",Lean Plates,6.8,700,50,65,23,4,4.1,240,2.1,4.0,5.0,590,870,160,54,eggs,,,1,1,1,1,0,gluten free gerd gentle lean protein,187072209583970232584267143235420203348942246641664
GERD01,Baked Salmon Rice Dinner,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"salmon, rice, green beans","salmon, rice, green beans:1 serving",Gentle Dinners,7.4,795,50,75,30,6,4.5,250,5.2,12.0,5.1,560,1120,220,52,fish,,,1,1,1,1,1,gluten free gerd gentle b12,883423532800568304121950260910201553553080208508793596477386962254168064
GERD02,Chicken Potato Dinner,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"chicken, potatoes, spinach","chicken, potatoes, spinach:1 serving",Gentle Dinners,7.4,790,55,78,24,8,5.0,240,0.8,1.8,5.3,600,1300,240,54,,,,1,1,1,1,0,gluten free gerd gentle b12,0
GERD03,Turkey Quinoa Dinner,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"turkey, quinoa, carrots, zucchini","turkey, quinoa, carrots, zucchini:1 serving",Gentle Dinners,7.4,780,54,76,23,8,5.2,230,1.0,1.6,5.2,580,1100,230,50,,,,1,1,1,1,0,gluten free gerd gentle b12,0
GERD04,Cod Polenta Plate,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"cod, polenta, spinach","cod, polenta, spinach:1 serving",Gentle Dinners,7.4,760,48,80,20,6,4.8,240,2.5,5.5,4.6,540,980,200,54,fish,,,1,1,1,1,1,gluten free gerd gentle b12,883423532800568304121950260910201553553080208508793596477386962254168064
GERD05,Chicken Brown Rice Bowl,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"chicken, brown rice, bok choy","chicken, brown rice, bok choy:1 serving",Gentle Dinners,7.4,785,53,82,21,7,4.7,220,0.7,1.4,5.0,570,1060,220,53,,,,1,1,1,1,0,gluten free gerd gentle b12,0
GERD06,Turkey Millet Skillet,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"turkey, millet, spinach, squash","turkey, millet, spinach, squash:1 serving",Gentle Dinners,7.4,770,52,78,22,8,5.1,230,1.0,1.6,5.2,580,1150,235,51,,,,1,1,1,1,0,gluten free gerd gentle b12,0
GERD07,Trout Rice Plate,Dinner,Gentle Dinners,Student Prep,non-vegetarian,"trout, rice, carrots, spinach","trout, rice, carrots, spinach:1 serving",Gentle Dinners,7.4,790,50,74,29,6,4.6,240,5.0,12.0,5.0,560,1070,215,52,fish,,,1,1,1,1,1,gluten free gerd gentle b12,883423532800568304121950260910201553553080208508793596477386962254168064
